nflverse_game_id,season,week,game_type,gameday,home_team,away_team,home_score,away_score,spread_line,total_line
1999_01_MIN_ATL,1999,1,REG,1999-09-12,ATL,MIN,14,17,-4,49
1999_01_KC_CHI,1999,1,REG,1999-09-12,CHI,KC,20,17,-3,38
1999_01_PIT_CLE,1999,1,REG,1999-09-12,CLE,PIT,0,43,-6,37
1999_01_OAK_GB,1999,1,REG,1999-09-12,GB,OAK,28,24,9,43
1999_01_BUF_IND,1999,1,REG,1999-09-12,IND,BUF,31,14,-3,45.5
1999_01_SF_JAX,1999,1,REG,1999-09-12,JAX,SF,41,3,5.5,49
1999_01_CAR_NO,1999,1,REG,1999-09-12,NO,CAR,19,10,3.5,38
1999_01_NE_NYJ,1999,1,REG,1999-09-12,NYJ,NE,28,30,7,44.5
1999_01_ARI_PHI,1999,1,REG,1999-09-12,PHI,ARI,24,25,-3,37
1999_01_DET_SEA,1999,1,REG,1999-09-12,SEA,DET,20,28,9.5,42
1999_01_BAL_STL,1999,1,REG,1999-09-12,STL,BAL,27,10,0,39
1999_01_NYG_TB,1999,1,REG,1999-09-12,TB,NYG,13,17,5.5,37.5
1999_01_CIN_TEN,1999,1,REG,1999-09-12,TEN,CIN,36,35,9,42
1999_01_DAL_WAS,1999,1,REG,1999-09-12,WAS,DAL,35,41,2.5,42
1999_01_MIA_DEN,1999,1,REG,1999-09-13,DEN,MIA,21,38,6,43
1999_02_PIT_BAL,1999,2,REG,1999-09-19,BAL,PIT,20,23,-2.5,38
1999_02_NYJ_BUF,1999,2,REG,1999-09-19,BUF,NYJ,17,3,4,42
1999_02_JAX_CAR,1999,2,REG,1999-09-19,CAR,JAX,20,22,-9.5,44
1999_02_SEA_CHI,1999,2,REG,1999-09-19,CHI,SEA,13,14,-3.5,39
1999_02_SD_CIN,1999,2,REG,1999-09-19,CIN,SD,7,34,1,40.5
1999_02_GB_DET,1999,2,REG,1999-09-19,DET,GB,23,15,-6.5,43
1999_02_DEN_KC,1999,2,REG,1999-09-19,KC,DEN,26,10,-3.5,40.5
1999_02_ARI_MIA,1999,2,REG,1999-09-19,MIA,ARI,19,16,9,41
1999_02_OAK_MIN,1999,2,REG,1999-09-19,MIN,OAK,17,22,11,47.5
