# Source: Wikipedia (List of NFL champions (1920–1969), List of Super Bowl champions), CC BY-SA 4.0.
season,game,date,winner,winner_score,loser,loser_score,venue,city
1920,NFL title (by standings),,Akron Pros,,Decatur Staleys,,,
1921,NFL title (by standings),,Chicago Staleys,,Buffalo All-Americans,,,
1922,NFL title (by standings),,Canton Bulldogs,,Chicago Bears,,,
1923,NFL title (by standings),,Canton Bulldogs,,Chicago Bears,,,
1924,NFL title (by standings),,Cleveland Bulldogs,,Chicago Bears,,,
1925,NFL title (by standings),,Chicago Cardinals,,Pottsville Maroons,,,
1926,NFL title (by standings),,Frankford Yellow Jackets,,Chicago Bears,,,
1927,NFL title (by standings),,New York Giants,,Green Bay Packers,,,
1928,NFL title (by standings),,Providence Steam Roller,,Frankford Yellow Jackets,,,
1929,NFL title (by standings),,Green Bay Packers,,New York Giants,,,
1930,NFL title (by standings),,Green Bay Packers,,New York Giants,,,
1931,NFL title (by standings),,Green Bay Packers,,Portsmouth Spartans,,,
1932,NFL title (by standings),,Chicago Bears,,Green Bay Packers,,,
1933,NFL Championship Game,"December 17, 1933",Chicago Bears,23,New York Giants,21,Wrigley Field,"Chicago, Illinois"
1934,NFL Championship Game,"December 9, 1934",New York Giants,30,Chicago Bears,13,Polo Grounds,"New York City, New York"
1935,NFL Championship Game,"December 15, 1935",Detroit Lions,26,New York Giants,7,University of Detroit Stadium,"Detroit, Michigan"
1936,NFL Championship Game,"December 13, 1936",Green Bay Packers,21,Boston Redskins,6,Polo Grounds,"New York City, New York"
1937,NFL Championship Game,"December 12, 1937",Washington Redskins,28,Chicago Bears,21,Wrigley Field,"Chicago, Illinois"
1938,NFL Championship Game,"December 11, 1938",New York Giants,23,Green Bay Packers,17,Polo Grounds,"New York City, New York"
1939,NFL Championship Game,"December 10, 1939",Green Bay Packers,27,New York Giants,0,Dairy Bowl,"West Allis, Wisconsin"
1940,NFL Championship Game,"December 8, 1940",Chicago Bears,73,Washington Redskins,0,Griffith Stadium,"Washington, D.C."
1941,NFL Championship Game,"December 21, 1941",Chicago Bears,37,New York Giants,9,Wrigley Field,"Chicago, Illinois"
1942,NFL Championship Game,"December 13, 1942",Washington Redskins,14,Chicago Bears,6,Griffith Stadium,"Washington, D.C."
1943,NFL Championship Game,"December 26, 1943",Chicago Bears,41,Washington Redskins,21,Wrigley Field,"Chicago, Illinois"
1944,NFL Championship Game,"December 17, 1944",Green Bay Packers,14,New York Giants,7,Polo Grounds,"New York City, New York"
1945,NFL Championship Game,"December 16, 1945",Cleveland Rams,15,Washington Redskins,14,Cleveland Stadium,"Cleveland, Ohio"
1946,NFL Championship Game,"December 15, 1946",Chicago Bears,24,New York Giants,14,Polo Grounds,"New York City, New York"
1947,NFL Championship Game,"December 28, 1947",Chicago Cardinals,28,Philadelphia Eagles,21,Comiskey Park,"Chicago, Illinois"
1948,NFL Championship Game,"December 19, 1948",Philadelphia Eagles,7,Chicago Cardinals,0,Shibe Park,"Philadelphia, Pennsylvania"
1949,NFL Championship Game,"December 18, 1949",Philadelphia Eagles,14,Los Angeles Rams,0,Los Angeles Memorial Coliseum,"Los Angeles, California"
1950,NFL Championship Game,"December 24, 1950",Cleveland Browns,30,Los Angeles Rams,28,Cleveland Stadium,"Cleveland, Ohio"
1951,NFL Championship Game,"December 23, 1951",Los Angeles Rams,24,Cleveland Browns,17,Los Angeles Memorial Coliseum,"Los Angeles, California"
1952,NFL Championship Game,"December 28, 1952",Detroit Lions,17,Cleveland Browns,7,Cleveland Stadium,"Cleveland, Ohio"
1953,NFL Championship Game,"December 27, 1953",Detroit Lions,17,Cleveland Browns,16,Briggs Stadium,"Detroit, Michigan"
1954,NFL Championship Game,"December 26, 1954",Cleveland Browns,56,Detroit Lions,10,Cleveland Stadium,"Cleveland, Ohio"
1955,NFL Championship Game,"December 26, 1955",Cleveland Browns,38,Los Angeles Rams,14,Los Angeles Memorial Coliseum,"Los Angeles, California"
1956,NFL Championship Game,"December 30, 1956",New York Giants,47,Chicago Bears,7,Yankee Stadium,"New York City, New York"
1957,NFL Championship Game,"December 29, 1957",Detroit Lions,59,Cleveland Browns,14,Briggs Stadium,"Detroit, Michigan"
1958,NFL Championship Game,"December 28, 1958",Baltimore Colts,23,New York Giants,17,Yankee Stadium,"New York City, New York"
1959,NFL Championship Game,"December 27, 1959",Baltimore Colts,31,New York Giants,16,Memorial Stadium,"Baltimore, Maryland"
1960,NFL Championship Game,"December 26, 1960",Philadelphia Eagles,17,Green Bay Packers,13,Franklin Field,"Philadelphia, Pennsylvania"
1961,NFL Championship Game,"December 31, 1961",Green Bay Packers,37,New York Giants,0,City Stadium,"Green Bay, Wisconsin"
1962,NFL Championship Game,"December 30, 1962",Green Bay Packers,16,New York Giants,7,Yankee Stadium,"New York City, New York"
1963,NFL Championship Game,"December 29, 1963",Chicago Bears,14,New York Giants,10,Wrigley Field,"Chicago, Illinois"
1964,NFL Championship Game,"December 27, 1964",Cleveland Browns,27,Baltimore Colts,0,Cleveland Stadium,"Cleveland, Ohio"
1965,NFL Championship Game,"January 2, 1966",Green Bay Packers,23,Cleveland Browns,12,Lambeau Field,"Green Bay, Wisconsin"
1966,NFL Championship Game,"January 1, 1967",Green Bay Packers,34,Dallas Cowboys,27,Cotton Bowl,"Dallas, Texas"
1966,Super Bowl I,"Jan 15, 1967",Green Bay Packers,35,Kansas City Chiefs,10,Los Angeles Memorial Coliseum,"Los Angeles, California"
1967,NFL Championship Game,"December 31, 1967",Green Bay Packers,21,Dallas Cowboys,17,Lambeau Field,"Green Bay, Wisconsin"
1967,Super Bowl II,"Jan 14, 1968",Green Bay Packers,33,Oakland Raiders,14,Miami Orange Bowl,"Miami, Florida"
1968,NFL Championship Game,"December 29, 1968",Baltimore Colts,34,Cleveland Browns,0,Cleveland Stadium,"Cleveland, Ohio"
1968,Super Bowl III,"Jan 12, 1969",New York Jets,16,Baltimore Colts,7,Miami Orange Bowl,"Miami, Florida"
1969,NFL Championship Game,"January 4, 1970",Minnesota Vikings,27,Cleveland Browns,7,Metropolitan Stadium,"Bloomington, Minnesota"
1969,Super Bowl IV,"Jan 11, 1970",Kansas City Chiefs,23,Minnesota Vikings,7,Tulane Stadium,"New Orleans, Louisiana"
1970,Super Bowl V,"Jan 17, 1971",Baltimore Colts,16,Dallas Cowboys,13,Miami Orange Bowl,"Miami, Florida"
1971,Super Bowl VI,"Jan 16, 1972",Dallas Cowboys,24,Miami Dolphins,3,Tulane Stadium,"New Orleans, Louisiana"
1972,Super Bowl VII,"Jan 14, 1973",Miami Dolphins,14,Washington Redskins,7,Los Angeles Memorial Coliseum,"Los Angeles, California"
1973,Super Bowl VIII,"Jan 13, 1974",Miami Dolphins,24,Minnesota Vikings,7,Rice Stadium,"Houston, Texas"
1974,Super Bowl IX,"Jan 12, 1975",Pittsburgh Steelers,16,Minnesota Vikings,6,Tulane Stadium,"New Orleans, Louisiana"
1975,Super Bowl X,"Jan 18, 1976",Pittsburgh Steelers,21,Dallas Cowboys,17,Miami Orange Bowl,"Miami, Florida"
1976,Super Bowl XI,"Jan 9, 1977",Oakland Raiders,32,Minnesota Vikings,14,Rose Bowl,"Pasadena, California"
1977,Super Bowl XII,"Jan 15, 1978",Dallas Cowboys,27,Denver Broncos,10,Louisiana Superdome,"New Orleans, Louisiana"
1978,Super Bowl XIII,"Jan 21, 1979",Pittsburgh Steelers,35,Dallas Cowboys,31,Miami Orange Bowl,"Miami, Florida"
1979,Super Bowl XIV,"Jan 20, 1980",Pittsburgh Steelers,31,Los Angeles Rams,19,Rose Bowl,"Pasadena, California"
1980,Super Bowl XV,"Jan 25, 1981",Oakland Raiders,27,Philadelphia Eagles,10,Louisiana Superdome,"New Orleans, Louisiana"
1981,Super Bowl XVI,"Jan 24, 1982",San Francisco 49ers,26,Cincinnati Bengals,21,Pontiac Silverdome,"Pontiac, Michigan"
1982,Super Bowl XVII,"Jan 30, 1983",Washington Redskins,27,Miami Dolphins,17,Rose Bowl,"Pasadena, California"
1983,Super Bowl XVIII,"Jan 22, 1984",Los Angeles Raiders,38,Washington Redskins,9,Tampa Stadium,"Tampa, Florida"
1984,Super Bowl XIX,"Jan 20, 1985",San Francisco 49ers,38,Miami Dolphins,16,Stanford Stadium,"Stanford, California"
1985,Super Bowl XX,"Jan 26, 1986",Chicago Bears,46,New England Patriots,10,Louisiana Superdome,"New Orleans, Louisiana"
1986,Super Bowl XXI,"Jan 25, 1987",New York Giants,39,Denver Broncos,20,Rose Bowl,"Pasadena, California"
1987,Super Bowl XXII,"Jan 31, 1988",Washington Redskins,42,Denver Broncos,10,San Diego–Jack Murphy Stadium,"San Diego, California"
1988,Super Bowl XXIII,"Jan 22, 1989",San Francisco 49ers,20,Cincinnati Bengals,16,Joe Robbie Stadium,"Miami, Florida"
1989,Super Bowl XXIV,"Jan 28, 1990",San Francisco 49ers,55,Denver Broncos,10,Louisiana Superdome,"New Orleans, Louisiana"
1990,Super Bowl XXV,"Jan 27, 1991",New York Giants,20,Buffalo Bills,19,Tampa Stadium,"Tampa, Florida"
1991,Super Bowl XXVI,"Jan 26, 1992",Washington Redskins,37,Buffalo Bills,24,Metrodome,"Minneapolis, Minnesota"
1992,Super Bowl XXVII,"Jan 31, 1993",Dallas Cowboys,52,Buffalo Bills,17,Rose Bowl,"Pasadena, California"
1993,Super Bowl XXVIII,"Jan 30, 1994",Dallas Cowboys,30,Buffalo Bills,13,Georgia Dome,"Atlanta, Georgia"
1994,Super Bowl XXIX,"Jan 29, 1995",San Francisco 49ers,49,San Diego Chargers,26,Joe Robbie Stadium,"Miami, Florida"
1995,Super Bowl XXX,"Jan 28, 1996",Dallas Cowboys,27,Pittsburgh Steelers,17,Sun Devil Stadium,"Tempe, Arizona"
1996,Super Bowl XXXI,"Jan 26, 1997",Green Bay Packers,35,New England Patriots,21,Louisiana Superdome,"New Orleans, Louisiana"
1997,Super Bowl XXXII,"Jan 25, 1998",Denver Broncos,31,Green Bay Packers,24,Qualcomm Stadium,"San Diego, California"
1998,Super Bowl XXXIII,"Jan 31, 1999",Denver Broncos,34,Atlanta Falcons,19,Pro Player Stadium,"Miami, Florida"
1999,Super Bowl XXXIV,"Jan 30, 2000",St. Louis Rams,23,Tennessee Titans,16,Georgia Dome,"Atlanta, Georgia"
2000,Super Bowl XXXV,"Jan 28, 2001",Baltimore Ravens,34,New York Giants,7,Raymond James Stadium,"Tampa, Florida"
2001,Super Bowl XXXVI,"Feb 3, 2002",New England Patriots,20,St. Louis Rams,17,Louisiana Superdome,"New Orleans, Louisiana"
2002,Super Bowl XXXVII,"Jan 26, 2003",Tampa Bay Buccaneers,48,Oakland Raiders,21,Qualcomm Stadium,"San Diego, California"
2003,Super Bowl XXXVIII,"Feb 1, 2004",New England Patriots,32,Carolina Panthers,29,Reliant Stadium,"Houston, Texas"
2004,Super Bowl XXXIX,"Feb 6, 2005",New England Patriots,24,Philadelphia Eagles,21,Alltel Stadium,"Jacksonville, Florida"
