# Source: Wikipedia (List of Pro Football Hall of Fame inductees), CC BY-SA 4.0.
name,class,position,first_year_of_eligibility,teams
Bert Bell,1963,Team owner/founder,no,Philadelphia Eagles (1933–1940); Philadelphia Eagles (1936–1940); Pittsburgh Steelers (1941); Pittsburgh Steelers (1941–1946)
Bronko Nagurski,1963,Fullback Pre-Modern Era: Two-Way Performer,no,"Chicago Bears (1930–1937, 1943)"
Cal Hubbard,1963,Tackle Pre-Modern Era: Two-Way Performer,no,"New York Giants (1927–1928, 1936); Green Bay Packers (1929–1933, 1935); Pittsburgh Pirates (1936)"
Don Hutson,1963,Offensive end Pre-Modern Era: Two-Way Performer,no,Green Bay Packers (1935–1945)
Dutch Clark,1963,Running back Pre-Modern Era: Two-Way Performer,no,Portsmouth Spartans/ Detroit Lions (1931–1932 1934–1938)
"Earl ""Curly"" Lambeau",1963,Founder,no,Green Bay Packers (1919); Green Bay Packers (1919–1929); Green Bay Packers (1919–1949); Chicago Cardinals (1950–1951); Washington Redskins (1952–1953)
Ernie Nevers,1963,Fullback Pre-Modern Era: Two-Way Performer,no,Duluth Eskimos (1926–1927); Duluth Eskimos (1927); Chicago Cardinals (1929–1931); Chicago Cardinals (1930–1931); Chicago Cardinals (1939)
George Halas,1963,NFL co-organizer,no,Decatur Staleys/ Chicago Staleys/ Chicago Bears (1920–1983); Decatur Staleys/ Chicago Staleys/ Chicago Bears (1920–1928); Decatur Staleys/ Chicago Staleys/ Chicago Bears (1920–1929 1933–1942 1946–1955 1958–1967)
George Preston Marshall,1963,Team owner/founder,no,Boston Braves/ Boston Redskins/ Washington Redskins (1932–1969)
"Harold ""Red"" Grange",1963,Halfback Pre-Modern Era: Two-Way Performer,no,"Chicago Bears (1925, 1929–1934); New York Yankees (AFL I) (1926); New York Yankees (NFL) (1927)"
Jim Thorpe,1963,Halfback/coach Pre-Modern Era: Two-Way Performer,no,"Canton Bulldogs (pre-NFL) (1915–17, 1919); Canton Bulldogs (1920); Cleveland Indians (1921); Oorang Indians (1922–1923); Rock Island Independents (1924–1925); New York Giants (1925); Canton Bulldogs (1926); Chicago Cardinals (1928)"
Johnny Blood,1963,Halfback Pre-Modern Era: Two-Way Performer,no,"Milwaukee Badgers (1925–1926); Duluth Eskimos (1926–1927); Pottsville Maroons (1928); Green Bay Packers (1929–1933, 1935–1936); Pittsburgh Pirates (1934, 1937–1938)"
Joseph Carr,1963,Team owner,no,"Columbus Panhandles (1904, 1907–1922)"
Mel Hein,1963,Center Pre-Modern Era: Two-Way Performer,no,New York Giants (1931–1945)
Pete Henry,1963,Tackle Pre-Modern Era: Two-Way Performer Punter Kicker,no,"Canton Bulldogs (1920–1923, 1925–1926); New York Giants (1927); Pottsville Maroons (1927–1928)"
Sammy Baugh,1963,Quarterback Pre-Modern Era: Two-Way Performer,no,Washington Redskins (1937–1952)
Tim Mara,1963,Team owner/founder,no,New York Giants (1925–1959)
Art Rooney,1964,Team owner/founder,no,Pittsburgh Pirates/ Steelers (1933–1988)
Clarke Hinkle,1964,Fullback Pre-Modern Era: Two-Way Performer,no,Green Bay Packers (1932–1941)
Ed Healey,1964,Tackle Pre-Modern Era: Two-Way Performer,no,Rock Island Independents (1920–1922); Chicago Bears (1922–1927)
George Trafton,1964,Center Pre-Modern Era: Two-Way Performer,no,Decatur Staleys/ Chicago Staleys/ Chicago Bears (1920–1932)
Jimmy Conzelman,1964,Quarterback Pre-Modern Era: Two-Way Performer,no,"Decatur Staleys (1920); Rock Island Independents (1921–1922); Milwaukee Badgers (1922–1923); Milwaukee Badgers (1924); Detroit Panthers (1925–1926); Providence Steam Roller (1927–1929); Providence Steam Roller (1927–1930); Chicago Cardinals (1940–1942, 1946–1948)"
Mike Michalske,1964,Guard Pre-Modern Era: Two-Way Performer,no,"New York Yankees (AFL I) (1926); New York Yankees (NFL) (1927–1928); Green Bay Packers (1929–1935, 1937)"
William R. Lyman,1964,Tackle Pre-Modern Era: Two-Way Performer,no,"Canton Bulldogs (1922–23, 1925); Cleveland Bulldogs (1924); Frankford Yellow Jackets (1925); Chicago Bears (1926–1934)"
Bob Waterfield,1965,Quarterback,no,Cleveland/ Los Angeles Rams (1945–1952)
Dan Fortmann,1965,Guard Pre-Modern Era: Two-Way Performer,no,Chicago Bears (1936–1943)
Guy Chamberlin,1965,End Pre-Modern Era: Two-Way Performer,no,Canton Bulldogs (pre-NFL) (1919); Decatur Staleys/ Chicago Staleys (1920–1921); Canton Bulldogs (1922–1923); Cleveland Bulldogs (1924); Frankford Yellow Jackets (1925–1926); Chicago Cardinals (1927)
"John ""Paddy"" Driscoll",1965,Quarterback Pre-Modern Era: Two-Way Performer,no,Hammond Pros (pre-NFL) (1919); Decatur Staleys (1920); Racine/ Chicago Cardinals (1920–1925); Chicago Bears (1926–1929)
Otto Graham,1965,Quarterback,no,Cleveland Browns (AAFC/ NFL) (1946–1955)
Sid Luckman,1965,Quarterback Pre-Modern Era: Two-Way Performer,no,Chicago Bears (1939–1950)
Steve Van Buren,1965,Halfback Pre-Modern Era: Two-Way Performer,no,Philadelphia Eagles (1944–1951)
Arnie Herber,1966,Quarterback Pre-Modern Era: Two-Way Performer,no,Green Bay Packers (1930–1940); New York Giants (1944–1945)
Bill Dudley,1966,Halfback Pre-Modern Era: Two-Way Performer,no,"Pittsburgh Steelers (1942, 1945–1946); Detroit Lions (1947–1949); Washington Redskins (1950–1951, 1953)"
Bulldog Turner,1966,Center Pre-Modern Era: Two-Way Performer,no,Chicago Bears (1940–1952)
George McAfee,1966,Halfback Pre-Modern Era: Two-Way Performer,no,"Chicago Bears (1940–1941, 1945–1950)"
"Hugh ""Shorty"" Ray",1966,"Technical advisor on rules, Supervisor of officials",no,
Joe Guyon,1966,Halfback Pre-Modern Era: Two-Way Performer,no,Canton Bulldogs (1919–1920); Washington Senators (1921); Cleveland Indians (1921); Oorang Indians (1922–1923); Rock Island Independents (1924); Kansas City Cowboys (1924–1925); New York Giants (1927)
Steve Owen,1966,Tackle Pre-Modern Era: Two-Way Performer,no,"Kansas City Cowboys (1924–1925); Cleveland Bulldogs (1925); New York Giants (1926–1931, 1933); New York Giants (1930–1953)"
Walt Kiesling,1966,Guard Pre-Modern Era: Two-Way Performer,no,Duluth Eskimos (1926–1927); Pottsville Maroons (1928); Chicago Cardinals (1929–1933); Chicago Bears (1934); Green Bay Packers (1935–1936); Pittsburgh Pirates (1937–1938); Pittsburgh Pirates/ Steelers (1939–1942 1954–1956); Steagles (1943); Card-Pitt (1944)
Bobby Layne,1967,Quarterback/placekicker,yes,Chicago Bears (1948); New York Bulldogs (1949); Detroit Lions (1950–1958); Pittsburgh Steelers (1958–1962)
Charles Bidwill,1967,Team owner,no,Chicago Cardinals (1933–1946)
Chuck Bednarik,1967,Center Two-Way Performer,yes,Philadelphia Eagles (1949–1962)
Dan Reeves,1967,Team owner,no,Cleveland/ Los Angeles Rams (1941–1971)
Emlen Tunnell,1967,Safety,no,New York Giants (1948–1958); Green Bay Packers (1959–1961)
Joe Stydahar,1967,Tackle Pre-Modern Era: Two-Way Performer,no,"Chicago Bears (1936–1942, 1945–1946); Los Angeles Rams (1950–1952); Chicago Cardinals (1953–1954)"
Ken Strong,1967,Halfback/placekicker Pre-Modern Era: Two-Way Performer,no,"Staten Island Stapletons (1929–1932); New York Giants (1933–1935, 1939); New York Giants (1944–1947); New York Yankees (AFL II) (1936–1937)"
